	featureCounts KO3	featureCounts KO2	featureCounts on KO1	featureCounts FLOX3	featureCounts FLOX2	featureCounts FLOX1
uc007dup.1	0	0	1.05258776027356	1.01963424544449	0	0
uc007dur.1	0	0	0	1.01963424544449	0.88341062523684	0
uc007duy.1	22.2969868437407	14.9276015438282	18.9465796849241	11.2159766998894	8.8341062523684	9.30048473963603
uc007dvh.2	3.3445480265611	0.995173436255212	6.31552656164138	0	2.65023187571052	5.58029084378162
uc007dvi.1	0	0.995173436255212	3.15776328082069	0	0.88341062523684	0
uc007dwh.2	0	0	2.10517552054713	0	0	0
uc007dwp.2	4.45939736874814	0.995173436255212	1.05258776027356	2.03926849088898	0.88341062523684	0
uc007dxa.1	0	0	3.15776328082069	0	0.88341062523684	0
uc007dxj.1	0	0	0	1.01963424544449	0.88341062523684	0
uc007dxy.1	0	0	0	1.01963424544449	0	0
uc007dyk.1	20.0672881593666	27.8648562151459	19.9991674451977	17.3337821725563	28.2691400075789	9.30048473963603
uc007dyl.1	1.11484934218703	4.97586718127606	5.26293880136781	0	3.53364250094736	2.79014542189081
uc029qvb.1	0	0	0	0	0.88341062523684	0
uc007dyp.2	2.22969868437407	0.995173436255212	1.05258776027356	3.05890273633347	0	0.930048473963603
uc007dzi.4	0	1.99034687251042	0	0	0	3.72019389585441
uc007dzj.1	0	0	1.05258776027356	0	0	0
uc007dzs.1	0	0	0	1.01963424544449	0.88341062523684	1.86009694792721
uc007dzt.2	1.11484934218703	2.98552030876564	5.26293880136781	1.01963424544449	0.88341062523684	0.930048473963603
uc007dzu.1	0	0	1.05258776027356	0	0	0
uc007eaa.2	0	0.995173436255212	0	0	0.88341062523684	0.930048473963603
uc007eaf.2	0	0	3.15776328082069	0	0	0
uc007eba.1	4.45939736874814	2.98552030876564	2.10517552054713	5.09817122722245	4.4170531261842	3.72019389585441
uc033fol.2	2.22969868437407	3.98069374502085	4.21035104109425	1.01963424544449	1.76682125047368	4.65024236981802
uc007ebw.2	4.45939736874814	2.98552030876564	4.21035104109425	2.03926849088898	3.53364250094736	4.65024236981802
uc007ecc.1	0	0	0	1.01963424544449	0	0
uc011wyr.1	0	0	0	1.01963424544449	0	0
uc007edr.2	0	0	0	0	0.88341062523684	0
uc007eee.1	2.22969868437407	1.99034687251042	0	0	0	0
uc007eei.2	1.11484934218703	0	0	0	0.88341062523684	1.86009694792721
uc056yfv.1	1.11484934218703	0	0	0	0	0
uc007eey.1	0	0.995173436255212	0	0	0.88341062523684	0
uc008idt.2	0	0	0	1.01963424544449	1.76682125047368	0
uc008ifo.2	0	0.995173436255212	2.10517552054713	0	0.88341062523684	2.79014542189081
uc008iga.1	11.1484934218703	6.96621405378649	9.47328984246206	5.09817122722245	12.3677487533158	7.44038779170883
uc057lbk.1	0	0	0	1.01963424544449	0	0.930048473963603
uc008igm.1	3.3445480265611	0.995173436255212	4.21035104109425	3.05890273633347	4.4170531261842	2.79014542189081
uc008igz.2	0	0	0	0	0.88341062523684	0
uc008ihh.2	0	0	1.05258776027356	0	1.76682125047368	0.930048473963603
uc008ihq.2	6.6890960531222	9.95173436255212	12.6310531232828	11.2159766998894	7.06728500189472	58.593053859707
uc008iia.1	1.11484934218703	0	0	0	0	0
uc008iic.1	0	1.99034687251042	1.05258776027356	0	0.88341062523684	0
uc029tvr.1	0	0	1.05258776027356	1.01963424544449	2.65023187571052	3.72019389585441
uc008iid.1	1.11484934218703	0	0	1.01963424544449	3.53364250094736	0.930048473963603
uc008ikj.1	3.3445480265611	0.995173436255212	1.05258776027356	0	4.4170531261842	4.65024236981802
uc012bra.1	0	0.995173436255212	0	0	0	0
uc056zle.1	0	2.98552030876564	2.10517552054713	0	2.65023187571052	2.79014542189081
uc008inf.2	0	0.995173436255212	0	0	0	0
uc029tvw.2	0	0	0	0	1.76682125047368	0
uc008ink.1	0	1.99034687251042	0	1.01963424544449	1.76682125047368	0
uc008iof.2	1.11484934218703	0	1.05258776027356	1.01963424544449	0.88341062523684	0
uc008ipc.1	0	0	0	0	0	0.930048473963603
uc008iqu.1	0	0	0	0	0	0.930048473963603
uc012bru.1	0	0.995173436255212	0	0	0	0
uc008irw.2	6.6890960531222	12.9372546713178	18.9465796849241	5.09817122722245	5.30046375142104	2.79014542189081
uc008isf.1	6.6890960531222	0.995173436255212	0	11.2159766998894	14.1345700037894	15.8108240573813
uc008isg.1	0	0	0	0	0	0.930048473963603
uc008ish.1	1.11484934218703	0.995173436255212	0	0	0.88341062523684	0
uc008isq.1	2.22969868437407	0	3.15776328082069	0	0.88341062523684	1.86009694792721
uc008itf.1	3.3445480265611	3.98069374502085	5.26293880136781	0	0.88341062523684	0
uc008ith.1	0	0.995173436255212	0	0	0	0
uc008ium.1	0	1.99034687251042	0	0	0	0
uc008iut.1	4.45939736874814	3.98069374502085	3.15776328082069	6.11780547266694	4.4170531261842	4.65024236981802
uc057bms.2	0	0	3.15776328082069	1.01963424544449	0	1.86009694792721
uc008ivz.1	5.57424671093517	4.97586718127606	3.15776328082069	2.03926849088898	2.65023187571052	1.86009694792721
uc008ixc.2	0	0	0	0	0.88341062523684	0
uc008ixe.1	1.11484934218703	0	0	0	0	0
uc008iye.1	6.6890960531222	4.97586718127606	4.21035104109425	4.07853698177796	6.18387437665788	8.37043626567243
uc008iyl.2	1.11484934218703	0.995173436255212	1.05258776027356	0	0	1.86009694792721
uc008iyr.3	0	1.99034687251042	2.10517552054713	2.03926849088898	1.76682125047368	2.79014542189081
uc008izb.1	1.11484934218703	0.995173436255212	0	0	0.88341062523684	0
uc008izd.1	0	0.995173436255212	0	1.01963424544449	0.88341062523684	0
uc012bte.1	1.11484934218703	0	0	1.01963424544449	0.88341062523684	0
uc057lci.1	0	0.995173436255212	0	0	0	0
uc057lcj.1	0	2.98552030876564	0	0	0	0.930048473963603
uc008jcq.1	1.11484934218703	0	2.10517552054713	1.01963424544449	1.76682125047368	3.72019389585441
uc012btn.1	0	0	0	0	0	0.930048473963603
uc008jcr.3	0	0.995173436255212	0	1.01963424544449	0	1.86009694792721
uc008jed.2	3.3445480265611	3.98069374502085	6.31552656164138	4.07853698177796	3.53364250094736	12.0906301615268
uc008jee.2	1.11484934218703	0	0	0	0	0
uc008jfe.2	0	1.99034687251042	0	0	0.88341062523684	0.930048473963603
